,Disease,Symptoms,Sheet Link
3230,ShiftWorkSleepDisorder,,
3231,Shigellosis,,
3232,Shingles(HerpesZoster),,
3233,"Shock,Anaphylactic(Anaphylaxis)",,
3234,Shock,,
3235,ShortBowelSyndrome,,
3236,ShortnessofBreath(Dyspnea),,
3237,ShortQTSyndrome,,
3238,ShortStatureforAge,,
3239,Shoulder-handsyndrome(ReflexSympatheticDystrophySyndrome),,
3240,ShuntInfection,,
3241,SIADH,,
3242,SIBO(SmallBowelBacterialOvergrowth),,
3243,"SickleCellAnemia(Anemia,SickleCell)",,
3244,"SickleCellDisease(Anemia,SickleCell)",,
3245,SilentReflux(LaryngopharyngealReflux),,
3246,SinusInfection(Sinusitis),,
3247,"Sinusitis,Acute(Sinusitis)",,
3248,"Sinusitis,Chronic(Sinusitis)",,
3249,Sinusitis,,
3250,SinusNodeDysfunction,,
3251,SinusSymptoms,,
3252,SinusTachycardia(SupraventricularTachycardia),,
3253,Sitosterolemia,,
3254,Sjogren'sSyndrome,,
3255,Sjogren-LarssonSyndrome,,
3256,Skin-PickingDisorder(ExcoriationDisorder),,
3257,SkinandStructureInfection,,
3258,"SkinCancer,BasalCell(BasalCellCarcinoma)",,
3259,"SkinCancer,Melanoma(Melanoma)",,
3260,"SkinCancer,SquamousCell(SquamousCellCarcinoma)",,
3261,"SkinCancerHistory(History,SkinCancer)",,
3262,SkinCancer,,
3263,SkinConditions(DermatologicalDisorders),,
3264,"SkinDisinfection(SkinDisinfection,Preoperative)",,
3265,"SkinDisinfection,Preoperative",,
3266,SkinInfection(SkinorSoftTissueInfection),,
3267,"SkinInfection,bacterial(BacterialSkinInfection)",,
3268,"SkinIrritation,minor(MinorSkinIrritation)",,
3269,SkinorSoftTissueInfection,,
3270,SkinRash,,
3271,SLE(SystemicLupusErythematosus),,
3272,SleepApnea,,
3273,SleepDisorders,,
3274,Sleepiness-duringtheday(Hypersomnia),,
3275,Sleeplessness(Insomnia),,
3276,SleepParalysis,,
3277,SleepTerrorDisorder(NightTerrors),,
3278,SlippedDisc(BackPain),,
3279,SlowHeartbeat(Bradyarrhythmia),,
3280,SlowHeartRate(Bradyarrhythmia),,
3281,SmallBowelBacterialOvergrowth,,
3282,SmallBowelorPancreaticFistula,,
3283,SmallCellLungCancer,,
3284,SmallFiberNeuropathy,,
3285,SmallFiberSensoryNeuropathy(SmallFiberNeuropathy),,
3286,SmallIntestinalBacterialOvergrowth(SmallBowelBacterialOvergrowth),,
3287,SmallIntestineIntubation,,
3288,Smallnon-cleavedcellLymphoma(BurkittLymphoma),,
3289,SmallpoxProphylaxis,,
3290,SmallpoxVaccineReaction,,
3291,SMD(SevereMoodDysregulation),,
3292,SmileLines(FacialWrinkles),,
3293,SmokingCessation,,
3294,Smoking,,
3295,SmoothMuscleSpasm(Vasospasm),,
3296,SocialAnxietyDisorder,,
3297,SocialPhobia(SocialAnxietyDisorder),,
3298,SoftTissueInfection(SkinorSoftTissueInfection),,
3299,SoftTissueSarcoma,,
3300,SolidTumors,,
3301,SomatoformPainDisorder,,
3302,Somnolence(Hypersomnia),,
3303,SoreThroat,,
3304,SpasmodicBladder(OveractiveBladder),,
3305,SpasmodicTorticollis(CervicalDystonia),,
3306,Spasms(MuscleSpasm),,
3307,Spasticcolon(IrritableBowelSyndrome),,
3308,Spasticity,,
3309,Spinabifida,,
3310,SpinalCordInjury(SpinalCordTrauma),,
3311,SpinalCordTrauma,,
3312,Spinalcurvature(Scoliosis),,
3313,SpinalMuscularAtrophy,,
3314,SpinalSpasticity,,
3315,SpleenRemoval(Splenectomy),,
3316,Splenectomy(SpleenRemoval),,
3317,SplitPersonalityDisorder(DissociativeIdentityDisorder),,
3318,Spondylitis(Spondyloarthritis),,
3319,Spondyloarthritis,,
3320,Spondylolisthesis,,
3321,"Sporotrichosis,Cutaneous(CutaneousSporotrichosis)",,
3322,Sporotrichosis,,
3323,Sprue(CeliacDisease),,
3324,SquamousCellCarcinoma,,
3325,SSADHDeficiency(SuccinicSemialdehydeDehydrogenaseDeficiency),,
3326,"SSRISexualDysfunction(SexualDysfunction,SSRIInduced)",,
3327,StableAngina(Angina),,
3328,StageFright(PerformanceAnxiety),,
3329,Stagnantloopsyndrome(MalabsorptionSyndrome),,
3330,StaphSkinInfection(SkinorSoftTissueInfection),,
3331,Startledisease(Hyperekplexia),,
3332,Stasissyndrome(MalabsorptionSyndrome),,
3333,StatusEpilepticus,,
3334,STD(SexuallyTransmittedDiseases),,
3335,STDProphylaxis,,
3336,Steatohepatitis(NonalcoholicFattyLiverDisease),,
3337,Steatosis(NonalcoholicFattyLiverDisease),,
3338,Stein-Leventhalsyndrome(PolycysticOvarySyndrome),,
3339,Steinert'sDisease(MuscularDystrophy),,
3340,StemCellTransplantConditioning,,
3341,SterileEosinophilicPustulosis(EosinophilicFolliculitis),,
3342,SteroidResponsiveInflammatoryConditions,,
3343,Stevens-JohnsonSyndrome,,
3344,Stiff-manSyndrome,,
3345,Stiffbabysyndrome(Hyperekplexia),,
3346,Still'sDisease,,
3347,StomachCancer,,
3348,Stomachflu(InfectiousGastroenteritis),,
3349,StomachUlcer(GastricUlcer),,
3350,StomachUlcer,,
3351,StomachUpset(Nausea&Vomiting),,
3352,Stomatitis,,
3353,"Stones,bladder(UrinaryTractStones)",,
3354,"Stones,kidney(Nephrolithiasis)",,
3355,Strabismus,,
3356,Strawberrynevus(Hemangioma),,
3357,StrepPharyngitis(StrepThroat),,
3358,StrepThroat(StreptococcalPharyngitis),,
3359,StreptococcalInfection,,
3360,StreptococcalPharyngitis(StrepThroat),,
3361,StreptococcalPneumonia,,
3362,Streptococcemia,,
3363,Stress(AnxietyandStress),,
3364,StressCardiomyopathy(BrokenHeartSyndrome),,
3365,StressUlcerProphylaxis,,
3366,Stroke(IschemicStroke),,
3367,"Stroke,hemorrhagic(HemorrhagicStroke)",,
3368,"Stroke,ischemic(IschemicStroke)",,
3369,"Stroke,ischemic,Prophylaxis(IschemicStroke,Prophylaxis)",,
3370,Strongyloidiasis,,
3371,Stuart-ProwerFactorDeficiency(FactorXDeficiency),,
3372,Stye(Hordeolum),,
3373,SubacuteSclerosingPanencephalitis,,
3374,SubarachnoidHemorrhage,,
3375,SubcornealPustularDermatosis,,
3376,SubcutaneousUrography,,
3377,SubduralHematoma(HeadInjurywithIntracranialHemorrhage),,
3378,SubependymalGiantCellAstrocytoma,,
3379,SubmentalFatReduction(SubmentalFullness),,
3380,SubmentalFullness,,
3381,"SubstanceAbuse,Cocaine",,
3382,SubstanceAbuse,,
3383,SubungualWarts(Warts),,
3384,SuccinicSemialdehydeDehydrogenaseDeficiency,,
3385,Sudeck'satrophy(ReflexSympatheticDystrophySyndrome),,
3386,Sunburn,,
3387,SuperficialSiderosis,,
3388,"Supplementation,Dietary(DietarySupplementation)",,
3389,Supra-eosphagealReflux(LaryngopharyngealReflux),,
3390,Supraglottitis(Epiglottitis),,
3391,SupraventricularTachycardia,,
3392,Surgery,,
3393,SurgicalProphylaxis,,
3394,SVT(SupraventricularTachycardia),,
3395,Sweating(Hyperhidrosis),,
3396,Sweet'sSyndrome,,
3397,"Swimmer'sEar,acute(AcuteOtitisExterna)",,
3398,"Swimmer'sEar,chronic(OtitisExterna)",,
3399,SwineFlu,,
3400,SwineInfluenza(SwineFlu),,
3401,Syncope,,
3402,SyndromeX(InsulinResistanceSyndrome),,
3403,Synovitis,,
3404,"Syphilis,Early",,
3405,"Syphilis,Latent",,
3406,Syphilis,,
3407,SyphiliticAorticAneurysm,,
3408,SyphiliticAortitis,,
3409,SyphiliticParkinsonism,,
3410,SyphiliticRupturedCerebralAneurysm,,
3411,SyphiliticUveitis,,
3412,Syringomyelia,,
3413,Syrinx(Syringomyelia),,
3414,SystemicCandidiasis,,
3415,SystemicExertionIntoleranceDisease(ChronicFatigueSyndrome),,
3416,SystemicFungalInfection,,
3417,SystemicLupusErythematosus,,
3418,SystemicMastocytosis,,
3419,SystemicSclerosis,,
3420,Systolicclick-murmursyndrome(MitralValveProlapse),,
3421,Tachyarrhythmia,,
3422,Tachycardia(Tachyarrhythmia),,
3423,"Tachycardia,Ventricular(VentricularTachycardia)",,
3424,Takayasu'sArteritis,,
3425,TakotsuboCardiomyopathy(BrokenHeartSyndrome),,
3426,Tamponade(PericardialTamponade),,
3427,TaperingRegimen,,
3428,Tapeworm(Beef)(BeefTapewormInfection(Taeniasaginata)),,
3429,Tapeworm(Dog)(DogTapewormInfection),,
3430,Tapeworm(Fish)(FishTapewormInfection),,
3431,Tapeworm(Pork)(PorkTapewormInfection(Taeniasolium)),,
3432,TardiveDyskinesia,,
3433,TBI(HeadInjury),,
3434,TeethingPain(TeethingSyndrome),,
3435,TeethingSyndrome,,
3436,TemporalArteritis,,
3437,TemporomandibularJointDisorder,,
3438,Tendonitis,,
3439,TensionHeadache(Headache),,
3440,TertiarySyphilis,,
3441,TesticularCancer,,
3442,TetanusProphylaxis,,
3443,Tetanus,,
3444,Tetraplegia(SpinalCordTrauma),,
3445,Thalassemia,,
3446,ThalliumMyocardialImaging,,
3447,TheFlu(Influenza),,
3448,ThiamineDeficiency(VitaminB1Deficiency),,
3449,ThoracicAorticAneurysm(AorticAneurysm),,
3450,ThoracicOutletSyndrome,,
3451,ThoracicRadiculopathy(Radiculopathy),,
3452,Threadworms(PinwormInfection(Enterobiusvermicularis)),,
3453,ThreatenedAbortion,,
3454,ThromboangiitisObliterans,,
3455,Thrombocythemia,,
3456,Thrombocytopathy,,
3457,ThrombocytopeniaAutoimmune,,
3458,ThrombocytopeniaDrugInduced,,
3459,ThrombocytopeniaIdiopathic,,
3460,Thrombocytopenia,,
3461,Thrombocytosis(Thrombocythemia),,
3462,ThromboembolicDisorder,,
3463,ThromboembolicStrokeProphylaxis,,
3464,Thromboembolism(DeepVeinThrombosis),,
3465,Thrombotic&ThromboembolicDisorder,,
3466,ThromboticThrombocytopenicPurpura,,
3467,Thrush(VaginalYeastInfection),,
3468,"Thrush,Oral(OralThrush)",,
3469,"Thrush,Vaginal(VaginalYeastInfection)",,
3470,Thymosis(Yaws),,
3471,"Thyroid,Underactive(UnderactiveThyroid)",,
3472,ThyroidCancer,,
3473,ThyroidDisease,,
3474,ThyroidHemorrhage&Infarction,,
3475,"ThyroidRemoval(Hypothyroidism,AfterThyroidRemoval)",,
3476,ThyroidStorm,,
3477,ThyroidSuppressionTest,,
3478,ThyroidTumor,,
3479,Thyrotoxicosis,,
3480,TIA(TransientIschemicAttack),,
3481,TicDisorder,,
3482,TicDoloureux(TrigeminalNeuralgia),,
3483,Tick-BorneEncephalitisVaccination,,
3484,"Tinea,Body(TineaCorporis)",,
3485,TineaBarbae,,
3486,TineaCapitis,,
3487,Tineacircinata(TineaCorporis),,
3488,TineaCorporis,,
3489,TineaCruris,,
3490,Tineaofthebody(TineaCorporis),,
3491,Tineaofthefoot(TineaPedis),,
3492,Tineaofthegroin(TineaCruris),,
3493,Tineaofthescalp(TineaCapitis),,
3494,TineaPedis,,
3495,TineaUnguium(Onychomycosis),,
3496,TineaVersicolor,,
3497,Tinnitus,,
3498,TLS(TumorLysisSyndrome),,
3499,TMD(TemporomandibularJointDisorder),,
3500,TMJ(TemporomandibularJointDisorder),,
3501,TMJD(TemporomandibularJointDisorder),,
3502,TMJDisorder(TemporomandibularJointDisorder),,
3503,TMJsyndrome(TemporomandibularJointDisorder),,
3504,TNFReceptorAssociatedPeriodicSyndrome(TumorNecrosisFactorReceptorAssociatedPeriodicSyndrome),,
3505,TNPain(TrigeminalNeuralgia),,
3506,Tonsillitis&Pharyngitis,,
3507,ToothAbscess(DentalAbscess),,
3508,Toothache,,
3509,ToothPain(Toothache),,
3510,TopicalDisinfection,,
3511,Torticollis(CervicalDystonia),,
3512,TOS(ThoracicOutletSyndrome),,
3513,Totalhipreplacement(HipReplacement),,
3514,Totalkneereplacement(KneeJointReplacement),,
3515,TotalParenteralNutrition,,
3516,Tourette'sSyndrome,,
3517,Toxemiaofpregnancy,,
3518,ToxicEpidermalNecrolysis,,
3519,ToxicReactionsInclDrugandSubstanceAbuse,,
3520,"Toxoplasmosis,Prophylaxis",,
3521,Toxoplasmosis,,
3522,TPN(TotalParenteralNutrition),,
3523,trabecularcarcinomaoftheskin(MerkelCellCarcinoma),,
3524,TracheoesophagealFistula,,
3525,Trachoma,,
3526,TranscobalaminIIDeficiency,,
3527,TransientIschemicAttack,,
3528,Transsexualism(GenderDysphoria),,
3529,TransurethralProstatectomy,,
3530,TransurethralResectionoftheProstate(TransurethralProstatectomy),,
3531,TransverseMyelitis,,
3532,TRAPS(TumorNecrosisFactorReceptorAssociatedPeriodicSyndrome),,
3533,TraumaticBrainInjury(HeadInjury),,
3534,"Traveler'sdiarrhea,E.coli(Traveler'sDiarrhea)",,
3535,Traveler'sDiarrheaProphylaxis,,
3536,Traveler'sDiarrhea,,
3537,Trichinosis,,
3538,Trichomoniasis,,
3539,Trichostrongylosis,,
3540,TrichostrongylusInfection(Trichostrongylosis),,
3541,Trichotillomania,,
3542,Trichuriasis(WhipwormInfection),,
3543,Trichuristrichiura(WhipwormInfection),,
3544,TricuspidValveReplacement(ProstheticHeartValves-ThrombosisProphylaxis),,
3545,TrigeminalNeuralgia,,
3546,Trisomy18,,
3547,Trisomy21(DownSyndrome),,
3548,TrochantericBursitis(Bursitis),,
3549,Trochleitis,,
3550,Trolloftransplantation(CMVPneumonia),,
3551,TrophoblasticDisease,,
3552,TrophoblasticTumor(TrophoblasticDisease),,
3553,Trypanosomiasis,,
3554,TSC(TuberousSclerosis),,
3555,TSHSuppression,,
3556,TTP(ThromboticThrombocytopenicPurpura),,
3557,TubalCancer(FallopianTubeCancer),,
3558,"Tuberculosis,Active",,
3559,"Tuberculosis,disseminated(Tuberculosis,Extrapulmonary)",,
3560,"Tuberculosis,Extrapulmonary",,
3561,"Tuberculosis,HIVNegative",,
3562,"Tuberculosis,HIVPositive",,
3563,"Tuberculosis,HIVStatusUnknown",,
3564,"Tuberculosis,Latent",,
3565,"Tuberculosis,Prophylaxis",,
3566,"Tuberculosis,Resistant",,
3567,"Tuberculosis,UrinaryTract",,
3568,Tuberculosis,,
3569,TuberculousEsophagitis,,
3570,TuberculousMeningitis,,
3571,TuberculousPleurisy,,
3572,TuberousSclerosisComplex(TuberousSclerosis),,
3573,TuberousSclerosis,,
3574,Tularemia(RabbitFever),,
3575,"Tumor,bone(Osteosarcoma)",,
3576,TumorLysisSyndrome,,
3577,TumorNecrosisFactorReceptorAssociatedPeriodicSyndrome,,
3578,Turner'sSyndrome,,
3579,TURP(TransurethralProstatectomy),,
3580,TympanostomyTubePlacementSurgery,,
3581,TympanostomyTubes(TympanostomyTubePlacementSurgery),,
3582,"Type1Diabetes(Diabetes,Type1)",,
3583,"Type2Diabetes(Diabetes,Type2)",,
3584,TyphoidFever,,
3585,TyphoidProphylaxis,,
3586,UCTD(UndifferentiatedConnectiveTissueDisease),,
3587,"Ulcer,aphthous(AphthousUlcer)",,
3588,"UlcerativeColitis,Active",,
3589,"UlcerativeColitis,Maintenance",,
3590,UlcerativeColitis,,
3591,UlcerativeProctitis,,
3592,Ultrasound,,
3593,Uncomfortablefullnessaftermeals(Indigestion),,
3594,UnconjugatedHyperbilirubinemia(Hyperbilirubinemia),,
3595,UnderactiveThyroid(Hypothyroidism),,
3596,UnderactiveThyroid,,
3597,UndifferentiatedConnectiveTissueDisease,,
3598,UndifferentiatedSchizophrenia(Schizophrenia),,
3599,UnipolarDepression(MajorDepressiveDisorder),,
3600,UnipolarDisorder(MajorDepressiveDisorder),,
3601,UnstableAngina(Angina),,
3602,UnstableBladder(OveractiveBladder),,
3603,UpperGIHemorrhage,,
3604,UpperLimbSpasticity,,
3605,UpperRespiratoryTractInfection,,
3606,UpsetStomach(Nausea&Vomiting),,
3607,UreaCycleDisorders,,
3608,UrethralStricturewithInfection,,
3609,"Urethralsyndrome,acute(AlkylatingAgentCystitis)",,
3610,UrgeIncontinence(OveractiveBladder),,
3611,URI(UpperRespiratoryTractInfection),,
3612,UricAcidNephrolithiasis,,
3613,UrinaryAcidification,,
3614,UrinaryAlkalinization,,
3615,UrinaryFrequency(OveractiveBladder),,
3616,UrinaryIncontinence,,
3617,UrinaryRetention,,
3618,UrinaryTractCancer,,
3619,UrinaryTractInfection,,
3620,UrinaryTractObstruction,,
3621,UrinaryTractStones,,
3622,UrinaryTractTumors,,
3623,Urination-excessivevolume(NocturnalPolyuria),,
3624,Urography,,
3625,UrothelialCarcinoma,,
3626,URTI(UpperRespiratoryTractInfection),,
3627,Urticaria,,
3628,UterineAdenocarcinoma(EndometrialCancer),,
3629,UterineBleeding,,
3630,UterineCancer(EndometrialCancer),,
3631,Uterinecorpuscancer(EndometrialCancer),,
3632,UterineEndometriosis(Adenomyosis),,
3633,UterineFibroids,,
3634,UterineLeiomyomata,,
3635,UTI(UrinaryTractInfection),,
3636,"Uveitis,Anterior",,
3637,"Uveitis,Posterior",,
3638,Uveitis,,
3639,V-tach(VentricularTachycardia),,
3640,VaccinationandProphylaxis,,
3641,VaginalAtrophy(AtrophicVaginitis),,
3642,VaginalCandidiasis(VaginalYeastInfection),,
3643,VaginalDryness,,
3644,VaginalpHImbalance,,
3645,VaginalThrush(VaginalYeastInfection),,
3646,VaginalYeastInfection,,
3647,Valleyfever(Coccidioidomycosis),,
3648,ValvularHeartDisease,,
3649,"Varicella-Zoster,Prophylaxis",,
3650,Varicella-Zoster,,
3651,VaricellaPneumonitis,,
3652,VaricoseVeins,,
3653,VascularDementia(ArterioscleroticDementia),,
3654,VascularDementiawithDepression(ArterioscleroticDementiawithDepression),,
3655,VascularDisordersofPenis,,
3656,VascularMagneticResonanceImaging,,
3657,VascularSpasm(Vasospasm),,
3658,VascularSurgery,,
3659,VasculiticSyndrome,,
3660,Vasculitis,,
3661,VasoactiveIntestinalPeptideTumor,,
3662,VasomotorRhinitis,,
3663,Vasospasm,,
3664,VasovagalSyncope(Syncope),,
3665,VenerealDisease(SexuallyTransmittedDiseases),,
3666,VenerealWarts(CondylomataAcuminata),,
3667,Venography,,
3668,VenomousScorpionBite,,
3669,VenomousSnakeBite,,
3670,VenomousSpiderBite,,
3671,VenousStatisUlcers(DermalUlcer),,
3672,VenousThromboembolism,,
3673,VentricularArrhythmia,,
3674,VentricularFibrillation,,
3675,VentricularTachycardia,,
3676,Verruca(Warts),,
3677,Vertigo,,
3678,VesicoureteralRefluxNephropathy,,
3679,ViralInfection,,
3680,VisceralArteriography,,
3681,"VisceralLarvaMigrans,Toxicariasis",,
3682,VisceralSpasm(Vasospasm),,
3683,VisualDefect&Disturbance,,
3684,Vitamin&MineralSupplementationandDeficiency,,
3685,Vitamin&MineralSupplementationduringPregnancy&Lactation,,
3686,VitaminADeficiency,,
3687,VitaminB12Deficiency,,
3688,VitaminB1Deficiency,,
3689,VitaminB3Deficiency(NiacinDeficiency),,
3690,VitaminCDeficiency,,
3691,VitaminDDeficiency,,
3692,VitaminDInsufficiency,,
3693,VitaminEDeficiency,,
3694,VitaminKDeficiency,,
3695,Vitiligo,,
3696,Vitrectomy,,
3697,VitreomacularAdhesion,,
3698,VocalCordDysfunction,,
3699,VoidingDisorders,,
3700,Voluntarystarvation(AnorexiaNervosa),,
3701,Vomiting,,
3702,VonRecklinghausenneurofibromatosis(Neurofibromatosis),,
3703,vonWillebrand'sDisease,,
3704,VT(VentricularTachycardia),,
3705,VulvarLichenSclerosus(LichenSclerosus),,
3706,Vulvodynia,,
3707,Wakefulness(Insomnia),,
3708,WaldenströmMacroglobulinemia,,
3709,Warts,,
3710,WartVirus(HumanPapillomaVirus),,
3711,WastingSyndrome(AIDSRelatedWasting),,
3712,Waterhouse-FriderichsenSyndrome,,
3713,Waterystools(Diarrhea),,
3714,WeakBladder(UrinaryIncontinence),,
3715,Wegener'sGranulomatosis,,
3716,WeightGain(Obesity),,
3717,WeightLoss&FailuretoThrive(FailuretoThrive),,
3718,WeightLoss,,
3719,Welts(Angioedema),,
3720,Wernicke'sEncephalopathy,,
3721,WestNileFever(WestNileVirus),,
3722,WestNileVirus,,
3723,WestSyndrome,,
3724,WhealsandWelts(Urticaria),,
3725,Wheezing(Asthma),,
3726,Whipple'sDisease,,
3727,WhipwormInfection,,
3728,Whiteheads(Acne),,
3729,WhoopingCough(Pertussis),,
3730,Willis-EkbomDisease(RestlessLegsSyndrome),,
3731,Wilms'Tumor(Nephroblastoma),,
3732,Wilson'sDisease,,
3733,WM(WaldenströmMacroglobulinemia),,
3734,Wolff-Parkinson-WhiteSyndrome,,
3735,Wolman'sDisease(LysosomalAcidLipaseDeficiency),,
3736,Woolsorter'sdisease(Anthrax),,
3737,WormsandFlukes(HelminthicInfection),,
3738,WoundCleansing(WoundDebridement),,
3739,WoundDebridement(WoundCleansing),,
3740,WoundInfection,,
3741,WoundSepsis,,
3742,WPWSyndrome(Wolff-Parkinson-WhiteSyndrome),,
3743,Wrinkles(FacialWrinkles),,
3744,"WristFracture(Fracture,bone)",,
3745,WristPain(MusclePain),,
3746,Xerosis(DrySkin),,
3747,Xerostomia,,
3748,Yaws,,
3749,"YeastInfection,vaginal(VaginalYeastInfection)",,
3750,YellowFeverProphylaxis,,
3751,Zika(ZikaVirusInfection),,
3752,ZikaDisease(ZikaVirusInfection),,
3753,ZikaFever(ZikaVirusInfection),,
3754,ZikaVirusInfection,,
3755,ZincDeficiency,,
3756,Zits(Acne),,
3757,Zollinger-EllisonSyndrome,,
3758,"Zygomycosis(Mucormycosis,Invasive)",,
